term,weight,tagged
thou,0.015789474079739022,NN
ivan,0.01547413905944713,NN
tsar,0.0122361317135534,NN
tsarevich,0.011744586210923719,NN
thee,0.011639307094605643,NN
tale,0.011472992591682888,NN
fairy,0.009768357585166589,NN
man,0.009715534108779487,NN
thy,0.009692461773381712,NN
brother,0.00882568413467225,NN
fool,0.007831014074122834,NN
son,0.007681319474277584,NN
woman,0.007103017395198041,NN
day,0.007071725523435984,NN
horse,0.007059558812767343,NN
daughter,0.006778757076048843,NN
tsarevna,0.006767710232248167,NN
time,0.006715618091638555,NN
way,0.0064118555256928314,NN
youth,0.00576638834568157,NN
wife,0.005686478735340983,NN
saw,0.00564680233023368,NN
look,0.005583598504582376,NN
merchant,0.005548368518614731,NN
thought,0.005367964097802026,NN
damsel,0.005206667120411551,NN
sea,0.004929149108527133,NN
father,0.004903880115267089,NN
hand,0.0047538711606336815,NN
head,0.0047251872924502876,NN
home,0.00469117173915042,NN
told,0.0041801398510794945,NN
dear,0.00412406308348139,NN
hast,0.0040384579961313324,NN
knapsack,0.004000455124722668,NN
archer,0.003995735139406496,NN
hut,0.0039901376276185695,NN
art,0.003985538774812157,NN
thing,0.003946826313042254,NN
sat,0.0039076974360523955,NN
drink,0.0039060732708710104,NN
right,0.0038445441641036617,NN
eat,0.003832360324747512,NN
eye,0.0037543606412983052,NN
king,0.0037437533916658897,NN
tell,0.0036352079045017683,NN
palace,0.003467564531850533,NN
dost,0.0033660240718404737,NN
child,0.003326727680094971,NN
flew,0.0033001679706203793,NN
